compound,formula,molecular_weight_g_mol,swissadme_tpsa_a2,swissadme_hba,swissadme_hbd,swissadme_rotatable_bonds,swissadme_consensus_logp,swissadme_esol_logs,swissadme_esol_class,swissadme_gi_absorption,swissadme_bbb_permeant,swissadme_pgp_substrate,admetlab_pk_probabilities,admetlab_cyp_inhibition_probabilities,admetlab_safety_probabilities,protox_predicted_ld50_mg_kg,protox_predicted_toxicity_class,protox_average_similarity_percent,protox_prediction_accuracy_percent,protox_key_endpoint_flags,source_attribution
compound_08,C33H45N3O19S2,851.85,338.05,20,2,22,-0.83,-3.15,Soluble,Low,No,Yes,HIA=0.000; BBB=0.000; P-gp substrate=0.991; P-gp inhibitor=0.023,CYP1A2=0.000; CYP2C19=0.000; CYP2C9=0.000; CYP2D6=0.052; CYP3A4=0.000,Ames=1.000; DILI=1.000; genotoxicity=1.000; H-HT=0.849; nephrotoxicity=0.959; neurotoxicity=0.016; hERG=0.000; skin sensitization=1.000,2000,4,38.65,23,Hepatotoxicity=Inactive (p=0.570); Neurotoxicity=Inactive (p=0.590); Nephrotoxicity=Active (p=0.650); Respiratory toxicity=Active (p=0.690); Cardiotoxicity=Inactive (p=0.520); Carcinogenicity=Active (p=0.510); Immunotoxicity=Inactive (p=0.910); Mutagenicity=Active (p=0.510); Cytotoxicity=Inactive (p=0.700),Physicochemical and qualitative ADME: SwissADME; PK and safety probabilities: ADMETlab 3.0; toxicity endpoints and acute oral toxicity: ProTox 3.0
compound_09,C18H25N3O9S2,491.53,214.39,10,2,10,-0.29,-2.00,Soluble,Low,No,Yes,HIA=0.000; BBB=0.016; P-gp substrate=0.992; P-gp inhibitor=0.001,CYP1A2=0.000; CYP2C19=0.000; CYP2C9=0.000; CYP2D6=0.031; CYP3A4=0.002,Ames=0.999; DILI=1.000; genotoxicity=0.999; H-HT=0.932; nephrotoxicity=0.947; neurotoxicity=0.151; hERG=0.004; skin sensitization=1.000,2000,4,39.60,23,Hepatotoxicity=Inactive (p=0.590); Neurotoxicity=Inactive (p=0.590); Nephrotoxicity=Active (p=0.640); Respiratory toxicity=Active (p=0.700); Cardiotoxicity=Inactive (p=0.560); Carcinogenicity=Active (p=0.500); Immunotoxicity=Inactive (p=0.980); Mutagenicity=Active (p=0.500); Cytotoxicity=Inactive (p=0.690),Physicochemical and qualitative ADME: SwissADME; PK and safety probabilities: ADMETlab 3.0; toxicity endpoints and acute oral toxicity: ProTox 3.0
compound_11,C8H9N3O3S2,259.30,139.70,4,1,1,-0.26,-2.27,Soluble,High,No,No,HIA=0.016; BBB=0.001; P-gp substrate=0.012; P-gp inhibitor=0.406,CYP1A2=0.996; CYP2C19=0.966; CYP2C9=0.976; CYP2D6=0.595; CYP3A4=0.924,Ames=0.995; DILI=1.000; genotoxicity=1.000; H-HT=0.920; nephrotoxicity=0.823; neurotoxicity=0.926; hERG=0.012; skin sensitization=1.000,5000,5,37.06,23,Hepatotoxicity=Active (p=0.500); Neurotoxicity=Active (p=0.570); Nephrotoxicity=Active (p=0.540); Respiratory toxicity=Active (p=0.750); Cardiotoxicity=Inactive (p=0.740); Carcinogenicity=Active (p=0.560); Immunotoxicity=Inactive (p=0.990); Mutagenicity=Inactive (p=0.550); Cytotoxicity=Inactive (p=0.690),Physicochemical and qualitative ADME: SwissADME; PK and safety probabilities: ADMETlab 3.0; toxicity endpoints and acute oral toxicity: ProTox 3.0
