compound,orca_atom_index,element,x_angstrom,y_angstrom,z_angstrom,chelpg_charge_e,source_geometry,source_chelpg_xyz,source_output
compound_09,0,S,6.190131,-2.901646,1.730530,-0.50127246,/data/BIOFILM_INSILICO_SUPPORT/01_qm_orca_xtb/compound_09/geometries/compound_09_wb97xd3_def2svp_cpcm_water_minimum.xyz,/data/BIOFILM_INSILICO_SUPPORT/01_qm_orca_xtb/compound_09/charges/compound_09_hf_631gstar_gas_chelpg.chelpg.xyz,/data/BIOFILM_INSILICO_SUPPORT/01_qm_orca_xtb/compound_09/charges/compound_09_hf_631gstar_gas_chelpg.out
compound_09,1,C,5.050184,-1.663722,1.640610,0.16367980,/data/BIOFILM_INSILICO_SUPPORT/01_qm_orca_xtb/compound_09/geometries/compound_09_wb97xd3_def2svp_cpcm_water_minimum.xyz,/data/BIOFILM_INSILICO_SUPPORT/01_qm_orca_xtb/compound_09/charges/compound_09_hf_631gstar_gas_chelpg.chelpg.xyz,/data/BIOFILM_INSILICO_SUPPORT/01_qm_orca_xtb/compound_09/charges/compound_09_hf_631gstar_gas_chelpg.out
compound_09,2,N,4.326749,-1.241821,2.676185,-0.52200266,/data/BIOFILM_INSILICO_SUPPORT/01_qm_orca_xtb/compound_09/geometries/compound_09_wb97xd3_def2svp_cpcm_water_minimum.xyz,/data/BIOFILM_INSILICO_SUPPORT/01_qm_orca_xtb/compound_09/charges/compound_09_hf_631gstar_gas_chelpg.chelpg.xyz,/data/BIOFILM_INSILICO_SUPPORT/01_qm_orca_xtb/compound_09/charges/compound_09_hf_631gstar_gas_chelpg.out
compound_09,3,N,4.831108,-1.037222,0.450058,0.01875997,/data/BIOFILM_INSILICO_SUPPORT/01_qm_orca_xtb/compound_09/geometries/compound_09_wb97xd3_def2svp_cpcm_water_minimum.xyz,/data/BIOFILM_INSILICO_SUPPORT/01_qm_orca_xtb/compound_09/charges/compound_09_hf_631gstar_gas_chelpg.chelpg.xyz,/data/BIOFILM_INSILICO_SUPPORT/01_qm_orca_xtb/compound_09/charges/compound_09_hf_631gstar_gas_chelpg.out
compound_09,4,N,3.991119,0.019366,0.397817,-0.29654155,/data/BIOFILM_INSILICO_SUPPORT/01_qm_orca_xtb/compound_09/geometries/compound_09_wb97xd3_def2svp_cpcm_water_minimum.xyz,/data/BIOFILM_INSILICO_SUPPORT/01_qm_orca_xtb/compound_09/charges/compound_09_hf_631gstar_gas_chelpg.chelpg.xyz,/data/BIOFILM_INSILICO_SUPPORT/01_qm_orca_xtb/compound_09/charges/compound_09_hf_631gstar_gas_chelpg.out
compound_09,5,C,3.695847,0.591789,-0.701252,0.25372704,/data/BIOFILM_INSILICO_SUPPORT/01_qm_orca_xtb/compound_09/geometries/compound_09_wb97xd3_def2svp_cpcm_water_minimum.xyz,/data/BIOFILM_INSILICO_SUPPORT/01_qm_orca_xtb/compound_09/charges/compound_09_hf_631gstar_gas_chelpg.chelpg.xyz,/data/BIOFILM_INSILICO_SUPPORT/01_qm_orca_xtb/compound_09/charges/compound_09_hf_631gstar_gas_chelpg.out
compound_09,6,C,2.761791,1.768729,-0.672183,-0.35331795,/data/BIOFILM_INSILICO_SUPPORT/01_qm_orca_xtb/compound_09/geometries/compound_09_wb97xd3_def2svp_cpcm_water_minimum.xyz,/data/BIOFILM_INSILICO_SUPPORT/01_qm_orca_xtb/compound_09/charges/compound_09_hf_631gstar_gas_chelpg.chelpg.xyz,/data/BIOFILM_INSILICO_SUPPORT/01_qm_orca_xtb/compound_09/charges/compound_09_hf_631gstar_gas_chelpg.out
compound_09,7,C,1.655075,1.590202,-1.723482,0.06020804,/data/BIOFILM_INSILICO_SUPPORT/01_qm_orca_xtb/compound_09/geometries/compound_09_wb97xd3_def2svp_cpcm_water_minimum.xyz,/data/BIOFILM_INSILICO_SUPPORT/01_qm_orca_xtb/compound_09/charges/compound_09_hf_631gstar_gas_chelpg.chelpg.xyz,/data/BIOFILM_INSILICO_SUPPORT/01_qm_orca_xtb/compound_09/charges/compound_09_hf_631gstar_gas_chelpg.out
compound_09,8,S,0.413152,0.339758,-1.227780,-0.29326569,/data/BIOFILM_INSILICO_SUPPORT/01_qm_orca_xtb/compound_09/geometries/compound_09_wb97xd3_def2svp_cpcm_water_minimum.xyz,/data/BIOFILM_INSILICO_SUPPORT/01_qm_orca_xtb/compound_09/charges/compound_09_hf_631gstar_gas_chelpg.chelpg.xyz,/data/BIOFILM_INSILICO_SUPPORT/01_qm_orca_xtb/compound_09/charges/compound_09_hf_631gstar_gas_chelpg.out
compound_09,9,C,-0.268869,1.125844,0.271585,0.23303128,/data/BIOFILM_INSILICO_SUPPORT/01_qm_orca_xtb/compound_09/geometries/compound_09_wb97xd3_def2svp_cpcm_water_minimum.xyz,/data/BIOFILM_INSILICO_SUPPORT/01_qm_orca_xtb/compound_09/charges/compound_09_hf_631gstar_gas_chelpg.chelpg.xyz,/data/BIOFILM_INSILICO_SUPPORT/01_qm_orca_xtb/compound_09/charges/compound_09_hf_631gstar_gas_chelpg.out
