rank,conf_id,force_field,energy,not_converged
1,14,MMFF94s,51.24137133,0
2,32,MMFF94s,51.24137137,0
3,89,MMFF94s,51.24165576,0
4,78,MMFF94s,51.71866432,0
5,69,MMFF94s,51.92179739,0
6,81,MMFF94s,52.01265660,0
7,86,MMFF94s,52.12502559,0
8,83,MMFF94s,52.12502560,0
9,71,MMFF94s,52.38178843,0
10,46,MMFF94s,52.38178850,0
11,37,MMFF94s,52.38178853,0
12,54,MMFF94s,52.42000867,0
13,52,MMFF94s,52.42000869,0
14,85,MMFF94s,52.42001049,0
15,29,MMFF94s,52.52901859,0
16,58,MMFF94s,52.68019552,0
17,40,MMFF94s,53.31587102,0
18,64,MMFF94s,53.43848349,0
19,45,MMFF94s,53.43907159,0
20,31,MMFF94s,53.43907159,0
21,36,MMFF94s,53.43907161,0
22,21,MMFF94s,53.43907187,0
23,62,MMFF94s,53.63620606,0
24,2,MMFF94s,54.57079656,0
25,0,MMFF94s,54.57079657,0
26,43,MMFF94s,54.57079664,0
27,92,MMFF94s,54.92883415,0
28,10,MMFF94s,55.34650760,0
29,57,MMFF94s,55.52252641,0
30,1,MMFF94s,55.64923077,0
31,67,MMFF94s,55.66131918,0
32,84,MMFF94s,56.07625726,0
33,12,MMFF94s,56.07625727,0
34,65,MMFF94s,56.43196064,0
35,39,MMFF94s,56.81460721,0
36,13,MMFF94s,56.89269699,0
37,94,MMFF94s,56.89269704,0
38,24,MMFF94s,56.89269708,0
39,63,MMFF94s,56.89269771,0
40,19,MMFF94s,57.14519326,0
41,56,MMFF94s,57.14519336,0
42,75,MMFF94s,57.32623997,0
43,68,MMFF94s,57.47899464,0
44,17,MMFF94s,57.50481386,0
45,66,MMFF94s,57.82534758,0
46,44,MMFF94s,60.70595616,0
47,55,MMFF94s,62.59170241,0
48,82,MMFF94s,62.70336494,0
49,93,MMFF94s,62.70336494,0
50,16,MMFF94s,63.60412196,0
51,70,MMFF94s,63.60412248,0
52,87,MMFF94s,63.71850818,0
53,49,MMFF94s,63.95975088,0
54,48,MMFF94s,63.95975107,0
55,22,MMFF94s,64.31095036,0
56,27,MMFF94s,64.52553646,0
57,72,MMFF94s,64.61380458,0
58,50,MMFF94s,64.61380461,0
59,47,MMFF94s,64.61380498,0
60,7,MMFF94s,64.61380626,0
61,8,MMFF94s,64.62995912,0
62,5,MMFF94s,65.18542524,0
63,41,MMFF94s,65.18542612,0
64,53,MMFF94s,65.18542653,0
65,42,MMFF94s,65.29638748,0
66,3,MMFF94s,65.37236456,0
67,4,MMFF94s,65.37236493,0
68,28,MMFF94s,65.37236572,0
69,59,MMFF94s,66.00151512,0
70,34,MMFF94s,66.26348539,0
71,9,MMFF94s,66.26348928,0
72,6,MMFF94s,66.63350052,0
73,33,MMFF94s,66.63350122,0
74,26,MMFF94s,66.69676663,0
75,80,MMFF94s,67.18761917,0
76,20,MMFF94s,67.57737727,0
77,76,MMFF94s,67.92167139,0
78,51,MMFF94s,68.20771947,0
79,88,MMFF94s,68.46735506,0
80,61,MMFF94s,68.46735537,0
81,18,MMFF94s,68.47408473,0
82,38,MMFF94s,68.70862701,0
83,73,MMFF94s,69.18425498,0
84,11,MMFF94s,69.52355752,0
85,91,MMFF94s,69.54330415,0
86,60,MMFF94s,70.43045416,0
87,74,MMFF94s,70.82560208,0
88,90,MMFF94s,71.33775071,0
89,23,MMFF94s,71.57780672,0
90,30,MMFF94s,73.24433887,0
91,25,MMFF94s,73.44423987,0
92,15,MMFF94s,73.69226050,0
93,35,MMFF94s,73.88885237,0
94,79,MMFF94s,74.27979904,0
95,77,MMFF94s,76.97794446,0
