compound,source_tool,access_date,source_raw_file,source_raw_sha256,value_interpretation,logS,logP,caco2,MDCK,hia,BBB,pgp_sub,pgp_inh,CYP1A2-inh,CYP2C19-inh,CYP2C9-inh,CYP2D6-inh,CYP3A4-inh,Ames,Carcinogenicity,DILI,Genotoxicity,H-HT,Hematotoxicity,hERG,Nephrotoxicity-DI,Neurotoxicity-DI,Respiratory,SkinSen
compound_08,ADMETlab 3.0,2026-07-02,ADMETlab3_result_08.csv,c0e0b2db39f88e7f603f4af4cef816d4dfbf95908a44b6e15156ed7d1e70267e,raw regression value or probability of endpoint category 1; no universal binary threshold applied,-2.6734458171877873,0.44693774756269544,-5.632460734161419,-5.219388404976866,9.28640365600586e-05,0.00010487737017683685,0.9912769794464111,0.02340487577021122,2.428840559787204e-07,1.0244592658636975e-06,8.046637844927318e-08,0.05204465985298157,9.160976333077997e-05,0.9998884201049805,0.6200954914093018,0.9998853206634521,0.9998642206192017,0.8493524193763733,0.9742746353149414,0.0003007502236869186,0.9587836265563965,0.015748895704746246,0.00025821191957220435,0.9999997615814209
compound_09,ADMETlab 3.0,2026-07-02,ADMETlab3_result_09.csv,c84e9709b2458846f61dfb1c02822312e052e3a5d20f1ab472ab827c32db37dd,raw regression value or probability of endpoint category 1; no universal binary threshold applied,-2.777925557899022,0.4943640401715159,-5.489535217411033,-5.08534155177999,7.092952728271484e-05,0.016304412856698036,0.9921969175338745,0.000881082087289542,0.00014466760330833495,0.00029751082183793187,7.762418476886523e-07,0.03124818205833435,0.0020782877691090107,0.999459445476532,0.8476672172546387,0.9995070695877075,0.9993891716003418,0.9316011071205139,0.8904585838317871,0.0037384878378361464,0.9469541907310486,0.1508835256099701,0.031757719814777374,0.9999877214431763
compound_11,ADMETlab 3.0,2026-07-02,ADMETlab3_result_11.csv,c26f375b35c4d66e8febed52942659d5ba5fc01f874a2a87438cb5c9d64124e9,raw regression value or probability of endpoint category 1; no universal binary threshold applied,-2.3961490965747485,0.5874762410659589,-4.991121736888313,-4.76908245970056,0.016328930854797363,0.0007506972760893404,0.01221544947475195,0.40581420063972473,0.9959927797317505,0.9656355977058411,0.9762268662452698,0.5945252776145935,0.9242071509361267,0.9947977066040039,0.9569865465164185,0.9999538660049438,0.9999996423721313,0.9195505380630493,0.7480626106262207,0.011785570532083511,0.8231403231620789,0.9257956743240356,0.37393054366111755,0.9999173879623413
